Question Number,Topic,Bloom Taxonomy,Question,Choice A,Choice B,Choice C,Choice D,Answer
53,"Intellectual Competencies",Evaluate,"Which argument is strongest for renewable energy?","It is cool","It is infinite","It is quiet","It reduces carbon footprint effectively",D
54,"Intellectual Competencies",Evaluate,"Critique the sentence: 'The data shows results.'","Correct","Data is plural (show)","Wrong spelling","Run-on",B
55,"Intellectual Competencies",Evaluate,"Is the solution x=2 valid for 2x=4?","Yes","No","Maybe","Impossible",A
56,"Intellectual Competencies",Evaluate,"Assess the credibility of a Wikipedia source.","High","Low/Starting point","Absolute","None",B
57,"Intellectual Competencies",Create,"Formulate a sentence using an Oxymoron.","Big huge giant","Deafening silence","Fast runner","Blue sky",B
58,"Intellectual Competencies",Create,"Compose a title for a study on Math Anxiety.","Math is Hard","Numbers and You","Impact of Anxiety on Math Performance","Why Math?",C
59,"Intellectual Competencies",Create,"Design a pattern: Circle, Square, Triangle...","Hexagon","Circle","Star","Oval",B
60,"Intellectual Competencies",Create,"Construct a haiku structure.","5-7-5","7-5-7","5-5-5","10-10-10",A
61,"Personal and Civic Responsibilities",Remember,"The fundamental law of the land.","Civil Code","Constitution","Family Code","Labor Code",B
62,"Personal and Civic Responsibilities",Remember,"Right to vote is also called:","Suffrage","Plebiscite","Initiative","Referendum",A
63,"Personal and Civic Responsibilities",Remember,"Identify the National Flower.","Rose","Sampaguita","Lily","Orchid",B
64,"Personal and Civic Responsibilities",Remember,"Who is the commander-in-chief?","Senator","General","President","Mayor",C
65,"Personal and Civic Responsibilities",Remember,"Tax paid on goods purchased.","Income Tax","VAT","Estate Tax","Donor Tax",B
66,"Personal and Civic Responsibilities",Remember,"The Legislative branch ___ laws.","Makes","Executes","Interprets","Breaks",A
67,"Personal and Civic Responsibilities",Remember,"Minimum age for voters in PH.","16","18","21","25",B
68,"Personal and Civic Responsibilities",Understand,"Why is the Constitution important?","It is long","Protects rights","Expensive paper","Written by lawyers",B
69,"Personal and Civic Responsibilities",Understand,"Purpose of Checks and Balances.","Slow down work","Prevent abuse of power","Increase budget","Make friends",B
70,"Personal and Civic Responsibilities",Understand,"What does 'Sovereignty resides in the people' mean?","People are kings","Power comes from citizens","Politicians rule","Military rule",B
71,"Personal and Civic Responsibilities",Understand,"Explain 'Due Process'.","Fast trial","Fair legal procedure","No trial","Instant jail",B
72,"Personal and Civic Responsibilities",Understand,"Meaning of 'Eminent Domain'.","State takes private property for public use","Free land","No taxes","Private ownership",A
73,"Personal and Civic Responsibilities",Understand,"Why do we pay taxes?","Punishment","Fund public services","Make politicians rich","Donation",B
74,"Personal and Civic Responsibilities",Understand,"Role of the Judiciary.","Make laws","Enforce laws","Interpret laws","Sign treaties",C
75,"Personal and Civic Responsibilities",Apply,"You see a violation of traffic rules. What do you do?","Join in","Report/Ignore","Fight","Cry",B
76,"Personal and Civic Responsibilities",Apply,"You see a violation of traffic rules. What do you do?","Join in","Report/Ignore","Fight","Cry",B
77,"Personal and Civic Responsibilities",Apply,"You see a violation of traffic rules. What do you do?","Join in","Report/Ignore","Fight","Cry",B
78,"Personal and Civic Responsibilities",Apply,"You see a violation of traffic rules. What do you do?","Join in","Report/Ignore","Fight","Cry",B
79,"Personal and Civic Responsibilities",Apply,"You see a violation of traffic rules. What do you do?","Join in","Report/Ignore","Fight","Cry",B
80,"Personal and Civic Responsibilities",Apply,"You see a violation of traffic rules. What do you do?","Join in","Report/Ignore","Fight","Cry",B
81,"Personal and Civic Responsibilities",Apply,"You see a violation of traffic rules. What do you do?","Join in","Report/Ignore","Fight","Cry",B
82,"Personal and Civic Responsibilities",Apply,"You see a violation of traffic rules. What do you do?","Join in","Report/Ignore","Fight","Cry",B
83,"Personal and Civic Responsibilities",Apply,"You see a violation of traffic rules. What do you do?","Join in","Report/Ignore","Fight","Cry",B
84,"Personal and Civic Responsibilities",Apply,"You see a violation of traffic rules. What do you do?","Join in","Report/Ignore","Fight","Cry",B
85,"Personal and Civic Responsibilities",Apply,"You see a violation of traffic rules. What do you do?","Join in","Report/Ignore","Fight","Cry",B
86,"Personal and Civic Responsibilities",Apply,"Applying the Code of Ethics for Teachers in Situation 1","Ignore student","Tutoring for fee","Professional distance","Favoritism",C
87,"Personal and Civic Responsibilities",Apply,"Applying the Code of Ethics for Teachers in Situation 2","Ignore student","Tutoring for fee","Professional distance","Favoritism",C
88,"Personal and Civic Responsibilities",Apply,"Applying the Code of Ethics for Teachers in Situation 3","Ignore student","Tutoring for fee","Professional distance","Favoritism",C
89,"Personal and Civic Responsibilities",Apply,"Applying the Code of Ethics for Teachers in Situation 4","Ignore student","Tutoring for fee","Professional distance","Favoritism",C
90,"Personal and Civic Responsibilities",Apply,"Applying the Code of Ethics for Teachers in Situation 5","Ignore student","Tutoring for fee","Professional distance","Favoritism",C
91,"Personal and Civic Responsibilities",Apply,"Applying the Code of Ethics for Teachers in Situation 6","Ignore student","Tutoring for fee","Professional distance","Favoritism",C
92,"Personal and Civic Responsibilities",Apply,"Applying the Code of Ethics for Teachers in Situation 7","Ignore student","Tutoring for fee","Professional distance","Favoritism",C
93,"Personal and Civic Responsibilities",Apply,"Applying the Code of Ethics for Teachers in Situation 8","Ignore student","Tutoring for fee","Professional distance","Favoritism",C
94,"Personal and Civic Responsibilities",Apply,"Applying the Code of Ethics for Teachers in Situation 9","Ignore student","Tutoring for fee","Professional distance","Favoritism",C
95,"Personal and Civic Responsibilities",Apply,"Applying the Code of Ethics for Teachers in Situation 10","Ignore student","Tutoring for fee","Professional distance","Favoritism",C
96,"Personal and Civic Responsibilities",Apply,"Applying the Code of Ethics for Teachers in Situation 11","Ignore student","Tutoring for fee","Professional distance","Favoritism",C
97,"Personal and Civic Responsibilities",Analyze,"Analyze the cause of inflation.","Low demand","Excess money supply","Cold weather","New coins",B
98,"Personal and Civic Responsibilities",Analyze,"Relationship between Rights and Responsibilities.","Opposite","Unrelated","Reciprocal","Identical",C
99,"Personal and Civic Responsibilities",Analyze,"Why did the revolution happen?","Boredom","Oppression","Fun","Travel",B
100,"Personal and Civic Responsibilities",Analyze,"Distinguish Writ of Amparo from Habeas Corpus.","Property vs Body","Life protection vs Body release","Money vs Jail","None",B
101,"Personal and Civic Responsibilities",Analyze,"Contrast Federalism vs Unitary.","Same","Regional power vs Central power","King vs Queen","Old vs New",B
102,"Personal and Civic Responsibilities",Evaluate,"Judge the morality of 'The end justifies the means'.","Always good","Ethically controversial","Always bad","Neutral",B
103,"Personal and Civic Responsibilities",Evaluate,"Assess the effectiveness of a Barangay.","Based on budget","Based on service delivery","Based on size","Based on location",B
104,"Personal and Civic Responsibilities",Create,"Propose a solution to garbage disposal.","Burn it","Throw in river","Segregation program","Hide it",C
105,"Personal and Civic Responsibilities",Create,"Draft a slogan for Voter Education.","Don't Vote","Vote wisely","Vote for friends","Sell your vote",B
106,"Practical Skills Development",Remember,"Shortcut key for Copy.","Ctrl+V","Ctrl+C","Ctrl+X","Ctrl+Z",B
107,"Practical Skills Development",Remember,"What does CPU stand for?","Central Process Unit","Central Processing Unit","Control Power Unit","Computer Power User",B
108,"Practical Skills Development",Remember,"Unit of electrical resistance.","Volt","Ampere","Ohm","Watt",C
109,"Practical Skills Development",Remember,"Main gas responsible for Global Warming.","Oxygen","Nitrogen","Carbon Dioxide","Helium",C
110,"Practical Skills Development",Remember,"Software for presentations.","Excel","Word","PowerPoint","Access",C
111,"Practical Skills Development",Remember,"Basic unit of life.","Atom","Molecule","Cell","Organ",C
112,"Practical Skills Development",Remember,"Device to input data.","Monitor","Printer","Keyboard","Speaker",C
113,"Practical Skills Development",Remember,"WWW stands for:","World Web Wide","World Wide Web","Wide World Web","Web World Wide",B
114,"Practical Skills Development",Understand,"How does a vaccine work?","Cures virus","Stimulates immunity","Kills bacteria","Removes blood",B
115,"Practical Skills Development",Understand,"Why use formulas in Excel?","Look pretty","Automate calculation","Hide numbers","Draw pictures",B
116,"Practical Skills Development",Understand,"Function of the roots of a plant.","Photosynthesis","Absorb water","Reproduction","Attract bees",B
117,"Practical Skills Development",Understand,"Difference between Hardware and Software.","Hard vs Soft","Physical vs Program","Expensive vs Cheap","Old vs New",B
118,"Practical Skills Development",Understand,"Understanding 'Phishing'.","Fishing sport","Email scam","Music style","Cooking",B
119,"Practical Skills Development",Understand,"Why recycle?","Save resources","Get money","Look cool","Fill bins",A
120,"Practical Skills Development",Understand,"Purpose of an Operating System.","Type documents","Manage hardware/software","Play games","Browse web",B
121,"Practical Skills Development",Apply,"Which formula sums cells A1 to A5?","=ADD(A1:A5)","=SUM(A1:A5)","=TOTAL(A1:A5)","=PLUS(A1:A5)",B
122,"Practical Skills Development",Apply,"Which formula sums cells A1 to A5?","=ADD(A1:A5)","=SUM(A1:A5)","=TOTAL(A1:A5)","=PLUS(A1:A5)",B
123,"Practical Skills Development",Apply,"Which formula sums cells A1 to A5?","=ADD(A1:A5)","=SUM(A1:A5)","=TOTAL(A1:A5)","=PLUS(A1:A5)",B
124,"Practical Skills Development",Apply,"Which formula sums cells A1 to A5?","=ADD(A1:A5)","=SUM(A1:A5)","=TOTAL(A1:A5)","=PLUS(A1:A5)",B
125,"Practical Skills Development",Apply,"Which formula sums cells A1 to A5?","=ADD(A1:A5)","=SUM(A1:A5)","=TOTAL(A1:A5)","=PLUS(A1:A5)",B
126,"Practical Skills Development",Apply,"Which formula sums cells A1 to A5?","=ADD(A1:A5)","=SUM(A1:A5)","=TOTAL(A1:A5)","=PLUS(A1:A5)",B
127,"Practical Skills Development",Apply,"Which formula sums cells A1 to A5?","=ADD(A1:A5)","=SUM(A1:A5)","=TOTAL(A1:A5)","=PLUS(A1:A5)",B
128,"Practical Skills Development",Apply,"Which formula sums cells A1 to A5?","=ADD(A1:A5)","=SUM(A1:A5)","=TOTAL(A1:A5)","=PLUS(A1:A5)",B
129,"Practical Skills Development",Apply,"Which formula sums cells A1 to A5?","=ADD(A1:A5)","=SUM(A1:A5)","=TOTAL(A1:A5)","=PLUS(A1:A5)",B
130,"Practical Skills Development",Apply,"Which formula sums cells A1 to A5?","=ADD(A1:A5)","=SUM(A1:A5)","=TOTAL(A1:A5)","=PLUS(A1:A5)",B
131,"Practical Skills Development",Apply,"Best tool to write a letter.","Excel","PowerPoint","Word","Photoshop",C
132,"Practical Skills Development",Apply,"Best tool to write a letter.","Excel","PowerPoint","Word","Photoshop",C
133,"Practical Skills Development",Apply,"Best tool to write a letter.","Excel","PowerPoint","Word","Photoshop",C
134,"Practical Skills Development",Apply,"Best tool to write a letter.","Excel","PowerPoint","Word","Photoshop",C
135,"Practical Skills Development",Apply,"Best tool to write a letter.","Excel","PowerPoint","Word","Photoshop",C
136,"Practical Skills Development",Apply,"Best tool to write a letter.","Excel","PowerPoint","Word","Photoshop",C
137,"Practical Skills Development",Apply,"Best tool to write a letter.","Excel","PowerPoint","Word","Photoshop",C
138,"Practical Skills Development",Apply,"Best tool to write a letter.","Excel","PowerPoint","Word","Photoshop",C
139,"Practical Skills Development",Apply,"Best tool to write a letter.","Excel","PowerPoint","Word","Photoshop",C
140,"Practical Skills Development",Apply,"Best tool to write a letter.","Excel","PowerPoint","Word","Photoshop",C
141,"Practical Skills Development",Apply,"Best tool to write a letter.","Excel","PowerPoint","Word","Photoshop",C
142,"Practical Skills Development",Apply,"Best tool to write a letter.","Excel","PowerPoint","Word","Photoshop",C
143,"Practical Skills Development",Apply,"Best tool to write a letter.","Excel","PowerPoint","Word","Photoshop",C
144,"Practical Skills Development",Analyze,"Computer is slow. Likely cause?","Monitor small","Insufficient RAM","Mouse color","Keyboard dust",B
145,"Practical Skills Development",Analyze,"Why Cloud over Flash Drive?","Cheaper","Data redundancy/Safety","No internet needed","Faster typing",B
146,"Practical Skills Development",Analyze,"Analyze food chain: Grass -> Cow -> Man.","Man is producer","Cow is carnivore","Man is consumer","Grass is predator",C
147,"Practical Skills Development",Analyze,"Effect of deforestation.","More oxygen","Soil erosion/Floods","Better view","Cheaper wood",B
148,"Practical Skills Development",Evaluate,"Most reliable source for research.","Blog","Peer-reviewed Journal","Wikipedia","Facebook",B
149,"Practical Skills Development",Evaluate,"Evaluate password strength: '123456'.","Strong","Weak","Average","Unbreakable",B
150,"Practical Skills Development",Create,"Design a visual aid for lecture.","Yellow text on white","Paragraphs only","Bullet points/Clear contrast","5 different fonts",C
